"","year","month","summit","PE","temp","precip","D","spei_3","spei_12","date","region"
"12985","2022","03","SMN",-262.099072337151,12.8326335906983,213.319758965252,-48.7793133718988,1.01429939394655,-0.149080816724049,2022-03-01,"HQM"
"12986","2022","03","SMZ",-198.138825595379,12.3912535923783,202.459926797626,4.32110120224749,0.809505948094548,-0.0121527001900415,2022-03-01,"NAH"
"12987","2022","03","SUN",-208.75658839941,11.2333208596835,192.766438318966,-15.9901500804445,0.867739593743509,-0.215923133841168,2022-03-01,"DAS"
"12988","2022","03","TSW",-223.137713968754,10.8496893072641,184.86062724757,-38.2770867211839,0.864192063838845,-0.666387327053887,2022-03-01,"SYU"
"12989","2022","03","YAT",-208.75658839941,11.2333208596835,192.766438318966,-15.9901500804445,0.867739593743509,-0.215923133841168,2022-03-01,"DAS"
"12990","2022","03","ZNF",-198.138825595379,12.3912535923783,202.459926797626,4.32110120224749,0.809505948094548,-0.0121527001900415,2022-03-01,"NAH"
"12991","2022","04","DSH",-248.423174023628,13.4270748774211,103.424711141386,-144.998462882242,0.484587454061262,-0.628521971563152,2022-04-01,"SYU"
"12992","2022","04","HUU",-227.842964231968,14.0986541959975,197.315065178671,-30.5278990532969,0.176937698526955,-0.425648711667797,2022-04-01,"SAC"
"12993","2022","04","JIA",-227.842964231968,14.0986541959975,197.315065178671,-30.5278990532969,0.176937698526955,-0.425648711667797,2022-04-01,"SAC"
"12994","2022","04","JNJ",-272.480189800262,12.6268904156155,127.16243973712,-145.317750063143,0.494936205717125,-0.418230874577393,2022-04-01,"SYU"
"12995","2022","04","LIN",-266.973130404949,13.8753007888794,165.051592502394,-101.921537902555,0.736371841321662,-0.0812752914275691,2022-04-01,"NAH"
"12996","2022","04","MIN",-227.842964231968,14.0986541959975,197.315065178671,-30.5278990532969,0.176937698526955,-0.425648711667797,2022-04-01,"SAC"
"12997","2022","04","QNS",-249.922499060631,13.5580156326294,163.008091959753,-86.9144071008776,0.500651680634173,-0.515687822168611,2022-04-01,"HQM"
"12998","2022","04","QSS",-249.922499060631,13.5580156326294,163.008091959753,-86.9144071008776,0.500651680634173,-0.515687822168611,2022-04-01,"HQM"
"12999","2022","04","SEN",-254.654943943024,12.3930660883586,181.203035626211,-73.4519083168124,0.55058938114985,-0.194102608167378,2022-04-01,"DAS"
"13000","2022","04","SMN",-266.973130404949,13.8753007888794,165.051592502394,-101.921537902555,0.736371841321662,-0.0812752914275691,2022-04-01,"HQM"
"13001","2022","04","SMZ",-194.302022457123,13.3414628982544,194.94928232173,0.647259864607008,0.630656887041476,0.151764436561281,2022-04-01,"NAH"
"13002","2022","04","SUN",-226.991713047028,12.1263071907891,229.775695118704,2.78398207167641,0.580113835416207,-0.0734887094588661,2022-04-01,"DAS"
"13003","2022","04","TSW",-231.80165886879,11.8267846213447,120.01222184638,-111.789437022409,0.369011223218394,-0.524981369945543,2022-04-01,"SYU"
"13004","2022","04","YAT",-226.991713047028,12.1263071907891,229.775695118704,2.78398207167641,0.580113835416207,-0.0734887094588661,2022-04-01,"DAS"
"13005","2022","04","ZNF",-194.302022457123,13.3414628982544,194.94928232173,0.647259864607008,0.630656887041476,0.151764436561281,2022-04-01,"NAH"
"13006","2022","05","DSH",-177.291385829449,14.9809641971383,428.081029505645,250.789643676196,0.988862708235775,0.519956672271127,2022-05-01,"SYU"
"13007","2022","05","HUU",-171.298399567604,15.8786377732472,517.865398378287,346.566998810683,0.82313296151972,0.604899574838644,2022-05-01,"SAC"
"13008","2022","05","JIA",-171.298399567604,15.8786377732472,517.865398378287,346.566998810683,0.82313296151972,0.604899574838644,2022-05-01,"SAC"
"13009","2022","05","JNJ",-181.817665696144,14.2442869247929,476.183974594985,294.366308898841,0.988572262758451,0.776182583330129,2022-05-01,"SYU"
"13010","2022","05","LIN",-179.455354809761,15.6131807839999,504.122936577712,324.667581767951,1.348734488959,1.17568089750561,2022-05-01,"NAH"
"13011","2022","05","MIN",-171.298399567604,15.8786377732472,517.865398378287,346.566998810683,0.82313296151972,0.604899574838644,2022-05-01,"SAC"
"13012","2022","05","QNS",-179.148845374584,15.2593055109824,459.978470058356,280.829624683772,1.12431088392653,0.675571440007443,2022-05-01,"HQM"
"13013","2022","05","QSS",-179.148845374584,15.2593055109824,459.978470058356,280.829624683772,1.12431088392653,0.675571440007443,2022-05-01,"HQM"
"13014","2022","05","SEN",-175.443470478058,14.1540887771114,533.699461669837,358.255991191779,1.20051011330666,0.907902270512626,2022-05-01,"DAS"
"13015","2022","05","SMN",-179.455354809761,15.6131807839999,504.122936577712,324.667581767951,1.348734488959,1.17568089750561,2022-05-01,"HQM"
"13016","2022","05","SMZ",-133.440606296062,15.3163792887042,497.601413578902,364.16080728284,1.02439267461282,1.1270592182316,2022-05-01,"NAH"
"13017","2022","05","SUN",-173.285037279129,13.9838650077902,597.863757462417,424.578720183288,1.4262653419657,1.02651836406464,2022-05-01,"DAS"
"13018","2022","05","TSW",-162.792302668095,13.4400877060429,471.800947041427,309.008644373332,0.811044052890956,0.644230846588699,2022-05-01,"SYU"
"13019","2022","05","YAT",-173.285037279129,13.9838650077902,597.863757462417,424.578720183288,1.4262653419657,1.02651836406464,2022-05-01,"DAS"
"13020","2022","05","ZNF",-133.440606296062,15.3163792887042,497.601413578902,364.16080728284,1.02439267461282,1.1270592182316,2022-05-01,"NAH"
"13021","2022","06","DSH",-257.139407098293,16.5104871326023,196.462002488026,-60.6774046102672,0.440758129130062,0.235043522818315,2022-06-01,"SYU"
"13022","2022","06","HUU",-294.954635202885,17.7342094633315,205.063161345372,-89.8914738575129,0.118173747417691,0.0467390135398824,2022-06-01,"SAC"
"13023","2022","06","JIA",-294.954635202885,17.7342094633315,205.063161345372,-89.8914738575129,0.118173747417691,0.0467390135398824,2022-06-01,"SAC"
"13024","2022","06","JNJ",-284.402050077915,15.7837971369426,187.360209318051,-97.0418407598643,0.426963200924832,0.393927433686908,2022-06-01,"SYU"
"13025","2022","06","LIN",-308.302529156208,17.5797878053453,169.484850855717,-138.817678300491,0.676176659845384,0.695014557570192,2022-06-01,"NAH"
"13026","2022","06","MIN",-294.954635202885,17.7342094633315,205.063161345372,-89.8914738575129,0.118173747417691,0.0467390135398824,2022-06-01,"SAC"
"13027","2022","06","QNS",-300.209447741508,17.2461425145468,140.640792342076,-159.568655399433,0.442662265944558,0.217298616960926,2022-06-01,"HQM"
"13028","2022","06","QSS",-300.209447741508,17.2461425145468,140.640792342076,-159.568655399433,0.442662265944558,0.217298616960926,2022-06-01,"HQM"
"13029","2022","06","SEN",-302.183456718922,15.7671141942342,246.280995102772,-55.9024616161494,0.439689541112199,0.372337868884364,2022-06-01,"DAS"
"13030","2022","06","SMN",-308.302529156208,17.5797878053453,169.484850855717,-138.817678300491,0.676176659845384,0.695014557570192,2022-06-01,"HQM"
"13031","2022","06","SMZ",-220.757782459259,17.5502712037829,326.846984120259,106.089201661,0.459787743463317,0.600877033905075,2022-06-01,"NAH"
"13032","2022","06","SUN",-311.916008591652,15.8448675579495,235.055786462674,-76.8602221289783,0.539022003058814,0.536660449716675,2022-06-01,"DAS"
"13033","2022","06","TSW",-250.884637236595,15.1007269329495,218.438607545743,-32.4460296908526,0.278413375627512,0.330552999765172,2022-06-01,"SYU"
"13034","2022","06","YAT",-311.916008591652,15.8448675579495,235.055786462674,-76.8602221289783,0.539022003058814,0.536660449716675,2022-06-01,"DAS"
"13035","2022","06","ZNF",-220.757782459259,17.5502712037829,326.846984120259,106.089201661,0.459787743463317,0.600877033905075,2022-06-01,"NAH"
"13036","2022","07","DSH",-266.721367835999,18.049546014109,223.22032840577,-43.5010394302289,0.0423227761609654,-0.030485502135958,2022-07-01,"SYU"
"13037","2022","07","HUU",-311.627961695194,18.8806269532891,208.978945926102,-102.649015769092,-0.428323816517821,-0.13304200828323,2022-07-01,"SAC"
"13038","2022","07","JIA",-311.627961695194,18.8806269532891,208.978945926102,-102.649015769092,-0.428323816517821,-0.13304200828323,2022-07-01,"SAC"
"13039","2022","07","JNJ",-310.875169932842,17.2989264744584,207.674289658936,-103.200880273906,0.116914733867331,0.231061836584655,2022-07-01,"SYU"
"13040","2022","07","LIN",-355.900585651398,19.0452092365553,184.933404043587,-170.967181607811,0.170190272536074,0.585561240148585,2022-07-01,"NAH"
"13041","2022","07","MIN",-311.627961695194,18.8806269532891,208.978945926102,-102.649015769092,-0.428323816517821,-0.13304200828323,2022-07-01,"SAC"
"13042","2022","07","QNS",-348.042130470276,18.7706980428388,149.67309923497,-198.369031235305,-0.0929052991377916,0.0717627047425998,2022-07-01,"HQM"
